1486623583;;;;;;;;;;;;;;;;;;;
09.02.2017, 07:59:43;;;;;;;;;;;;;;;;;;;
nagÅ‚Ã³wek1;nagÅ‚Ã³wek2;nagÅ‚Ã³wek3;producent;nr kat.;EAN;nazwa;OEM;Twoja cena;Opis;Gwarancja;PHE;Magazyn;nowoÅ›Ä‡;EU;Opakowanie;producent;url obrazek;Magazyn;Magazyn_limit
Noœniki danych;MO dyski;"5.25""";HP;DO091HPWGN;7,25184E+11;"HP MOD-RW 5,25"", 9.1 C7988A, 512 Bytes/Sector, do archiwizacji danych";C7988A;308,9;"Noœniki optyczne HP - dysk 5,25 cala kompatybilne z szerok¹ gam¹ dysków optycznych. <br />Wyprodukowane z poliwêglanu o du¿ej wytrzyma³oœci i odpornoœci na wstrz¹sy. <br />Producent: HP<br />Modelu / numeru czêœci: C7988A<br />Rodzaj: Przechowywanie noœników - dysków magneto-optycznych<br />Multimedia Form Factor: 5.25 /""<br />Media Ilosc: 1<br />Natywna Pojemnoœæ: 9,1 GB<br />Format zapisu: 512 bajtów / sektor";24;0;0;0;346,99;1;Hewlett-Packard;http://www.lamaplus.com.pl/all/obr/DO091HPWGN.jpg;0;-
Noœniki danych;MO dyski;"5.25""";HP;DO091HPWGV;7,25184E+11;"HP MOD-RW 5,25"", 9.1 C7983A, 4096 Bytes/Sector, do archiwizacji danych";C7983A;349,7;Dyski magnetooptyczne (MO) to bardzo niszowe produkty. S¹ idealne dla przedsiêbiorstw i bran¿, które musz¹ spe³niæ pañstwowe przepisy w zakresie archiwizacji, przetwarzaj¹ du¿e iloœci dokumentów i musz¹ szybko uzyskiwaæ dostêp do przechowywanych/zarchiwizowanych danych. Do bran¿, w których przydadz¹ siê rozwi¹zania magnetooptyczne, nale¿¹: s³u¿ba zdrowia, s¹downictwo, firmy zajmuj¹ce siê przetwarzaniem obrazu i drukiem, przedsiêbiorstwa zarz¹dzaj¹ce dokumentacj¹, urzêdy i placówki oœwiatowe. Parametry dysków jedno- i wielokrotnego zapisu HP wykraczaj¹ poza standardy ISO, IEC i ANSI. Przeprowadzane przez HP testy kontroli jakoœci obejmuj¹ 40 000 cykli ³adowania/wyjmowania dla ka¿dego dysku. Pozwalaj¹ one zminimalizowaæ ryzyko wyst¹pienia defektu os³ony i wynikaj¹cych z tego nieodwracalnych b³êdów odczytu, zapewniaj¹c pe³en dostêp do plików.;24;0;0;0;420,81;1;Hewlett-Packard;http://www.lamaplus.com.pl/all/obr/DO091HPWGV.jpg;0;-
Noœniki danych;Ultrium, AIT;LTO Gen. I;HP;DU200HPNG0;25184163416;HP Ultrium LTO, 100/GB 200GB, niebieska, C7971A, do archiwizacji danych;C7971A;139;Technologia<br />Ultrium LTO-1<br />200 GB skompresowanych 2: 1<br />Format- Wielokrotnego zapisu<br />Szybkoœæ odczytu - 32 MB / s<br />¯ywotnoœæ- 30 lat<br />Kolor -Niebieski<br />D³ugoœæ - 609 m<br />Szerokoœæ - 12,65 mm<br />Gruboœæ - 8,9 um<br />Materia³ - Metal Particle;24;0;0;0;170,49;1;Hewlett-Packard;http://www.lamaplus.com.pl/all/obr/DU200HPNG0.jpg;0;-
Noœniki danych;Ultrium, AIT;LTO Gen. I;HP;DU513HPCP0;8,08736E+11;HP Ultrium universal, czyszcz¹cy, pomarañczowa, C7978A;C7978A;330,6;*Opis produktu<br />C7978A to kaseta czyszcz¹ca LTO Ultrium Universal Cleaning Cartridge marki HP w kolorze pomarañczowym. <br />*Pozwala czyœciæ napêdy taœmowe w formacie LTO1/2/3/4/5. <br />*Taœma o szerokoœci 12.65 mm.<br />*Specyfikacja techniczna<br />*Producent - Hewlett-Packard<br />*Kod producenta - C7978A<br />*Pozwala czyœciæ napêdy taœmowe w formacie LTO1/2/3/4/5<br />*Wymiary (WxSxG)mm:113x110x27;24;0;0;0;405,61;1;Hewlett-Packard;http://www.lamaplus.com.pl/all/obr/DU513HPCP0.jpg;0;-
Noœniki danych;Ultrium, AIT;LTO Gen. I;HP;DU209HPSN2;;HP Ultrium LTO 4 RW Štítky s èárovým kódem, GB GB, Q2009A, zestaw etykiet z kodem kreskowym;Q2009A;358,1;*Pakiet kodów kreskowych do taœm HP Ultrium LTO4 RW<br />*Pakiety kodów kreskowych HP to proste rozwi¹zanie problemu uszkodzeñ kodów kreskowych. <br />*Pakiety HP zosta³y w pe³ni przetestowane pod k¹tem wydajnoœci i niezawodnoœci.<br />*Oszczêdnoœæ czasu i pieniêdzy.;24;0;0;0;402,28;1;Hewlett-Packard;http://www.lamaplus.com.pl/all/obr/DU209HPSN2.jpg;0;-
Noœniki danych;Ultrium, AIT;LTO Gen. I;HP;DU800HPCP0;8,82781E+11;HP Ultrium universal, czyszcz¹cy, zielona, C7974W;C7974W;148,3;TAŒMA  HP - ULTRIUM 4 WORM (C7974W)<br />Wnikliwie testowane  HP LTO Ultrium spe³niaj¹ wszystkie wymagania dla maksymalnej niezawodnoœci podczas przywracania danych, oferuj¹c wysok¹ gêstoœæ magazynowania, ³atwoœæ zarz¹dzania i skalowaln¹ wydajnoœæ magazynowania i tworzenia kopii zapasowych. <br />Zakres temperatur (przechowywanie) Od 16 do 32;24;0;0;0;181,95;1;Hewlett-Packard;http://www.lamaplus.com.pl/all/obr/DU800HPCP0.jpg;0;-
Noœniki danych;Ultrium, AIT;LTO Gen. II;HP;DU160HPWG0;;HP Ultrium LTO 4, 800/GB 1600 (1,6 TB)GB, zielona, C7974A, do archiwizacji danych;C7974A;105,4;Technologia nagrywania- LTO-4 Ultrium<br />Pojemnoœæ -1,6 TB w kompresji 2:1<br />Format noœnika- Wielokrotnego zapisu<br />Etykiety noœników -Etykiety do nadruku w zestawie<br />Prêdkoœæ odczytu z noœnika -240 MB/s<br />Wytrzyma³oœæ  archiwalna - 30 lat<br />Kolor produktu -Zielony<br />D³ugoœæ taœmy -820 m<br />Szerokoœæ taœmy -12,65 mm<br />Gruboœæ taœmy - 6,6 µm<br />Materia³ podstawowy -Metal Particle<br />Œcie¿ki danych -896<br />Odpornoœæ na rozmagnesowanie<br />2600-2750 Oe;24;0;0;0;129,27;1;Hewlett-Packard;http://www.lamaplus.com.pl/all/obr/DU160HPWG0.jpg;0;-
Noœniki danych;Ultrium, AIT;LTO Gen. II;HP;DU400HPNG0;8,08736E+11;HP Ultrium LTO, 200/GB 400GB, czerwona, C7972A, do archiwizacji danych;C7972A;139,1;Ka¿da taœma HP Ultrium 400 GB z kodami kreskowymi wyposa¿ona jest w unikatowy, podwójny kod kreskowy o przydzielonej mu sekwencji (kody nie powtarzaj¹ siê).<br />Pojemnoœæ 400 GB i prêdkoœæ transmisji danych 30 MB/s.<br />30-letnia trwa³oœæ danych na taœmach HP Ultrium 400 GB.<br />Iloœæ w opakowaniu 1 szt.<br />Pojemnoœæ wbudowana 200 GB<br />Pojemnoœæ skompresowana 400 GB<br />Waga netto 213 g<br />Wymiary 113 x 111 x 28 mm<br />Szerokoœæ noœnika 12,65 mm;24;0;1;0;170,65;1;Hewlett-Packard;http://www.lamaplus.com.pl/all/obr/DU400HPNG0.jpg;1;9+
Noœniki danych;Ultrium, AIT;LTO Gen. II;HP;DU800HPWG0;8,29161E+11;HP Ultrium RW, 400/GB 800GB, z³ota, C7973A, do archiwizacji danych;C7973A;89,74;Taœma HP Ultrium 3 800 GB RW trzeciej generacji zapewnia najwiêksz¹ pojemnoœæ i najni¿sze koszty przypadaj¹ce na 1 GB w porównaniu z innymi technologiami taœmowymi. Ponadto jest zgodna ze specyfikacj¹ HP Brand – najbardziej wymagaj¹c¹ norm¹ jakoœci dotycz¹c¹ noœników. <br />Najwiêksza pojemnoœæ i wydajnoœæ w porównaniu z innymi technologiami taœmowymi – pojemnoœæ 800 GB i prêdkoœæ transmisji danych160 MB/s. <br />Dziêki g³adszej folii i mniejszym cz¹steczkom magnetycznym gêstoœæ zapisu jest wiêksza, co umo¿liwia archiwizacjê wiêkszej iloœci danych na tym samym odcinku taœmy. Pozwala to tak¿e na zwiêkszenie liczby œcie¿ek zapisu z 512 na taœmie Ultrium 2 do 704 na taœmach HP Ultrium 3 800 GB trzeciej generacji. <br />D³u¿szy czas miêdzy pojawieniem siê ostrze¿enia o koñcu noœnika (Early Warning End of Media, EWEOM) a rzeczywistym koñcem noœnika (End of Media, EOM) oznacza, ¿e dane na zape³nionej taœmie zmieszcz¹ siê na taœmie docelowej podczas ich kopiowania. <br />Taœmy HP Ultrium s¹ zgodne z produktami Ultrium firmy HP oraz innych producentów. Ci¹g³e testowanie noœników w laboratoriach HP to gwarancja wysokiej jakoœci, zapewnianej przez stosowane unikalne kryteria firmy Hewlett-Packard. HP posiada 20 komór testowych, funkcjonuj¹cych 24 godziny na dobê. Firma przeprowadza 70 000 prób oraz poœwiêca 1,3 mln godzin rocznie na prowadzenie testów, podczas których symulowane s¹ rzeczywiste warunki, w jakich noœniki maj¹ byæ u¿ywane. Celem testów jest zagwarantowanie niezawodnoœci za ka¿dym za³adowaniem taœmy. <br />HP gwarantuje 30-letni¹ trwa³oœæ danych i/lub 260 pe³nych cykli archiwizacji na taœmach HP Ultrium 800 GB RW. Dziêki temu firmy oferuj¹ lepsze parametry przechowywania i archiwizacji danych.;24;0;1;0;110,08;1;Hewlett-Packard;http://www.lamaplus.com.pl/all/obr/DU800HPWG0.jpg;1;1
Noœniki danych;Ultrium, AIT;LTO Gen. II;HP;DU797HPUT0;;HP Ultrium RW LTO 5, 1100 (1,1 TB)/GB 3000 (3 TB)GB, jasnoniebieski, C7975A, do archiwizacji danych;C7975A;88,46;*Streamer Hewlett-Packard Taœma LTO5 Ultrium 3 TB RW<br />*Technologia nagrywania: LTO-5 Ultrium<br />*Etykiety noœników: Write-on Labels in box<br />*Iloœæ na opakowanie: 1<br />*Pojemnoœæ pamiêci masowej: 3.0 TB* Compressed 2:1*Supported<br />*Kolor produktu: Light Blue<br />*D³ugoœæ taœmy: 846 m<br />*Szerokoœæ taœmy: 12,65 mm<br />*Gruboœæ taœmy: 6.4 um<br />*Odpornoœæ na rozmagnesowanie: 2500-2700 Oe<br />*Format noœnika: Re-Writable<br />*Wymary (szer. x g³êb. x wys.): 11,3 x 11,1 x 2,1 cm<br />*Waga produktu: 0,27 kg;24;0;0;0;108,54;1;Hewlett-Packard;http://www.lamaplus.com.pl/all/obr/DU797HPUT0.jpg;0;-
Noœniki danych;Ultrium, AIT;LTO Gen. II;HP;DU800HPUG0;;HP Ultrium WORM, 400/GB 800GB, z³ota, C7973W, do archiwizacji danych;C7973W;140,7;Technologia nagrywania - LTO-3 Ultrium<br />Pojemnoœæ - 800 GB w kompresji 2:1<br />Obs³ugiwane -Format noœnika -Noœniki jednokrotnego zapisu<br />Etykiety noœników - Etykiety do nadruku w zestawie<br />Prêdkoœæ odczytu z noœnika -120 MB/s<br />Wytrzyma³oœæ  archiwalna - 30 lat<br />Kolor produktu -Z³oty<br />D³ugoœæ taœmy -680 m<br />Szerokoœæ taœmy -12,65 mm<br />Gruboœæ taœmy -8,0 µm<br />Materia³ podstawowy -Metal Particle<br />Œcie¿ki danych -704<br />Odpornoœæ na rozmagnesowanie -2500-2850 Oe;24;0;0;0;172,52;1;Hewlett-Packard;http://www.lamaplus.com.pl/all/obr/DU800HPUG0.jpg;0;-
Noœniki danych;Ultrium, AIT;LTO Gen. II;HP;DU320HPCG0;8,8442E+11;HP èistící kazeta - DAT 320 SAS Internal Tape Drive, 320/GB 320GB, pomarañczowa, Q2039A, do archiwizacji danych;Q2039A;101,1;Kaseta/Taœma Czyszcz¹ca<br />- technologia nagrywania: DAT320<br />- format noœnika: DDS/DAT<br />- kolor: pomarañczowy<br />- pakowanie: sztuka* referencyjne: sztuka<br />- Marka - HP<br />- Model - Q2039A<br />- waga przedmiotu - 41 g<br />- wymiary produktu - 1,9 x 5,9 x 8 cm;24;0;0;0;113,58;1;Hewlett-Packard;http://www.lamaplus.com.pl/all/obr/DU320HPCG0.jpg;0;-
Noœniki danych;Ultrium, AIT;LTO Gen. II;HP;DU800HPXG0;8,8278E+11;HP LTO Ultrium 3, 400/GB 800GB, ¿ó³ta, C7973AN, do archiwizacji danych;C7973AN;2276,7;Technologia nagrywania - LTO-3 Ultrium<br />Pojemnoœæ -800 GB w kompresji 2:1<br />Obs³ugiwane -Format noœnika -Wielokrotnego zapisu<br />Etykiety noœników - Niestandardowy, oznaczony etykiet¹<br />Iloœæ na opakowanie - 20<br />Prêdkoœæ odczytu z noœnika - 120 MB/s<br />Wytrzyma³oœæ  archiwalna - 30 lat<br />Kolor produktu -Z³oty<br />D³ugoœæ taœmy -680 m<br />Szerokoœæ taœmy -12,65 mm<br />Gruboœæ taœmy -8,0 µm<br />Materia³ podstawowy -Metal Particle<br />Œcie¿ki danych -704<br />Odpornoœæ na rozmagnesowanie -2500-2850 Oe;24;0;0;0;2793,25;1;Hewlett-Packard;http://www.lamaplus.com.pl/all/obr/DU800HPXG0.jpg;0;-
Noœniki danych;Ultrium, AIT;LTO Gen. II;HP;DU797HPLT0;8,84963E+11;HP Ultrium RW LTO 5, 1100 (1,1 TB)/GB 3000 (3 TB)GB, labeled, jasnoniebieski, C7975AL, do archiwizacji danych;C7975AL;1844,2;Model C7975AL<br />Rodzaj produktu: Cartridge Danych<br />Technologia Tape: LTO-5<br />Natywna Pojemnoœæ: 1,50 TB<br />Sprê¿one Pojemnoœæ: 3 TB;24;0;0;0;2262,6;1;Hewlett-Packard;http://www.lamaplus.com.pl/all/obr/DU797HPLT0.jpg;0;-
Noœniki danych;Ultrium, AIT;LTO Gen. II;HP;DUQ20HPUT0;8,83585E+11;HP Ultrium 4 WORM, zielona, Q2010A, etykiety z kodem kreskowym;Q2010A;426,8;*Taœmy HP Ultrium zosta³y zaprojektowane z myœl¹ o pe³nym wykorzystaniu technologii Ultrium. <br />*Cechuje je niezawodnoœæ oraz d³uga ¿ywotnoœæ. <br />*Posiadaj¹ funkcjê aktywnego czyszczenia g³owicy wewnêtrznej, mo¿liwoœci autodiagnostyczne oraz uk³ad pamiêci.<br />• Kody kreskowe do automatyzacji pracy taœm HP zosta³y przetestowane specjalnie z myœl¹ o bezawaryjnym wykorzystaniu taœm w systemach automatycznego podawania taœm HP SureStore i StorageWorks oraz bibliotekach danych.<br />Specyfikacja Q2010A<br />*Wymiary produktu (S x G x W) 28.45 x 0.51 x 22.61 cm<br />*Waga produktu 110 g;24;0;0;0;523,58;1;Hewlett-Packard;http://www.lamaplus.com.pl/all/obr/DUQ20HPUT0.jpg;0;-
Noœniki danych;CD-R noœniki danych;CD-R;NN;DC70HIP9G6;;HIT 700 MB, spindl;;0,38;;24;0;0;0;0,38;0;No Name;http://www.lamaplus.com.pl/all/obr/DC70HIP9G6.jpg;0;-
Noœniki danych;CD-R noœniki danych;CD-R;NN;DC70MSC9X1;;MEMOREX 700 MB, cake box;;4,57;;24;0;0;0;4,57;0;No Name;http://www.lamaplus.com.pl/all/obr/DC70MSC9X1.jpg;0;-
Noœniki danych;CD-R noœniki danych;CD-R;NN;DC70MSC9X4;;MEMOREX 700 MB, cake box;;21,4;;24;0;0;0;21,4;0;No Name;http://www.lamaplus.com.pl/all/obr/DC70MSC9X4.jpg;0;-
